symbol,entry_time,side,setup,atr_pct,body_atr,close_pos,dow,entry_dist_atr,gap_atr,hour,htf_align,range_atr,setup_choch,side_long,stop_atr,stop_pct,trend_age,vol_z,gross_r,net_r,win
NEARUSDT,2025-07-02T03:59:59Z,SHORT,BOS,1.0544038224377084,0.5066748724954673,0.29411764705883736,2,0.5527362245405265,0.1842454081801755,17,-0,0.7830429847657613,0,0,0.9672883929458959,1.0140028971511088,0,-0.1854666485199797,-1,-1.0894571428571451,0
XLMUSDT,2025-07-02T03:59:59Z,SHORT,BOS,0.992829976164276,1.561930135227083,0.3636363636363655,2,1.561930135227083,0.624772054090843,17,-0,2.4544616410711373,0,0,1.1602909575972782,1.1343804537521898,2,3.5260481478206818,-1,-1.080038461538461,0
BLURUSDT,2025-07-03T12:59:59Z,SHORT,BOS,1.0968384491127956,0.5016293218183674,0,4,0.6270366522729636,0.5016293218183674,11,-0,0.6270366522729636,0,0,0.777525448818486,0.8469945355191386,42,-0.806112318718586,-1,-1.1069580645161274,0
BNBUSDT,2025-07-03T12:59:59Z,LONG,BOS,0.3152776601468766,0.7322095518413656,0.8940092165898513,4,1.2059922030328503,0.043071150108331624,7,0,1.0384932859449423,0,1,0.41635445104706065,0.1317682695948511,16,0.06182516937247272,3,2.3148827586206933,1
ADAUSDT,2025-07-04T02:59:59Z,LONG,CHoCH,1.1217572606064,0.5354998257785629,0.9024390243902545,4,0.6842497773837175,0.014874995160513804,20,0,0.6098748015811319,1,1,1.115624637038651,1.2611400706238358,0,-1.1574080733221384,-1,-1.0706640000000005,0
BNBUSDT,2025-07-04T02:59:59Z,LONG,BOS,0.35927835410489944,0.5163772270413378,0.8266666666666728,4,0.6003410037960447,0.43241345028663086,21,0,0.944592488490238,0,1,1.8975813546559372,0.6832335691396068,30,0.30940586833123274,-1,-1.1310265486725668,0
ADAUSDT,2025-07-05T02:59:59Z,LONG,BOS,0.958922405519691,0.8506308666695778,0.9811320754717004,5,0.9411235120599678,0.05429558723422196,22,0,0.9592220411380418,0,1,1.0135176283722436,0.980735551663737,26,-0.7629287983845429,1,0.9075321428571419,1
ZECUSDT,2025-07-05T01:59:59Z,LONG,CHoCH,1.4578880969659758,0.5798459934024128,0.9210526315789449,5,0.5969002873260222,0.3240315845484068,21,0,0.6480631690968258,1,1,0.9209318718744289,1.3544018058690723,0,-1.3003775144107255,-1,-1.0657500000000002,0
BLURUSDT,2025-07-05T13:59:59Z,SHORT,BOS,1.0848743073629459,0.40076772557411805,0.5555555555555572,6,0.5343569674321637,0.5343569674321637,9,-0,1.2023031767223726,0,0,1.6297887506681072,1.7579250720461077,88,0.18761523236087038,0,-0.051196721311475464,0
SOLUSDT,2025-07-05T21:59:59Z,SHORT,CHoCH,0.6784503850154069,0.4320952190267731,0.573529411764713,6,0.5828261093849246,0.3818515889073703,16,-0,1.366626739247432,1,0,0.9847751503400902,0.6654896102132407,0,3.236090909869432,-1,-1.1359387755102015,0
BNBUSDT,2025-07-06T04:59:59Z,LONG,BOS,0.2401659394069458,0.5022816555622758,1,6,0.6612315465630032,0.14623389972068085,20,0,0.6612315465630032,0,1,1.1635132021253511,0.2798807065840852,77,-0.9664034762812697,0,-0.3215655737704846,0
BLURUSDT,2025-07-06T00:59:59Z,LONG,CHoCH,0.9111080978363486,0.47651140616500265,0,6,0.4765114061649806,0.4765114061649806,23,0,0.47651140616500265,1,1,0.9847902394076589,0.9011627906976882,0,-0.29056124092689545,2,1.898729032258066,1
BTCUSDT,2025-07-05T02:59:59Z,LONG,BOS,0.3651287358861183,0.8696841664428734,0.9378837677392944,5,0.9312876382048275,0.1867078528144274,22,0,0.9929670074679228,0,1,1.6238523361444952,0.5949381778166833,40,-0.438304790661772,1,0.8480237777708536,1
SOLUSDT,2025-07-07T02:59:59Z,SHORT,BOS,0.7921004067357948,0.6098063486705697,0.269565217391305,1,0.7016949765524217,0.2255448138918575,0,-0,0.9606538369467688,0,0,1.6205812553710608,1.2765677436336105,32,-0.38003961032410516,1,0.9301984536082474,1
VANRYUSDT,2025-07-08T03:59:59Z,SHORT,BOS,1.58294989741449,0.7461400794389534,0.24999999999999784,2,0.7461400794389534,0.2487133598129816,1,-0,0.994853439251935,0,0,0.9998277064481911,1.5642023346303484,151,-0.3525600252872158,-1,-1.0582373134328358,0
BLURUSDT,2025-07-08T12:59:59Z,LONG,BOS,0.8353958445797021,0.17149531754827244,0.25000000000000866,2,0.17149531754827244,1.2004672228378594,11,0,0.685981270193066,0,1,1.406261603895796,1.176470588235296,60,-0.4981564654954268,1,0.9228000000000001,1
BNBUSDT,2025-07-09T11:59:59Z,SHORT,CHoCH,0.2485264686911591,0.46929846582615015,0.2300000000000182,3,0.46929846582615015,0.8593647231361979,9,-0,0.6094785270469626,1,0,1.1762935572006075,0.29199951585571743,0,0.5733414286210038,-1,-1.308919689119179,0
SOLUSDT,2025-07-09T14:59:59Z,LONG,CHoCH,0.7124776772984526,0.5204092011131358,0.4927536231883918,3,0.6208390469419742,0.0821698738599729,11,0,1.259938065852866,1,1,0.6756189628486488,0.48350212348906174,0,0.1253216060012034,1,0.8131581081081104,1
XRPUSDT,2025-07-09T14:59:59Z,LONG,BOS,0.6834714216638633,1.4806284731986235,0.8050847457627126,3,1.7509506840730609,0.8171103192341078,11,0,2.174865060217063,0,1,1.062857783665417,0.7352316192095236,27,3.6901266400336192,3,2.8754895953757234,1
ETHUSDT,2025-07-10T03:59:59Z,LONG,BOS,0.9204703851057715,0.35323071076239354,0.39942291838417016,4,0.3782105621312393,0.01717364781605707,2,0,0.9468924909498345,0,1,0.7127063843670074,0.6583169294886962,44,-0.08172816879539739,1,0.8625877327491768,1
ETHUSDT,2025-07-10T18:59:59Z,LONG,BOS,0.8463695092631855,0.9212958426777963,0.8607402912621317,4,1.1842846876651256,1.0365100033389179,17,0,1.375890846155895,0,1,1.377143173989157,1.1773733047822905,59,1.7071194185300766,5,4.920058654137617,1
BTCUSDT,2025-07-11T11:59:59Z,LONG,BOS,0.6503717789828988,0.6561862905945016,0.5947842310188157,5,1.1267003749894176,0.8737469778952001,9,0,1.2800038909707858,0,1,0.1735371920239633,0.11369683327407118,18,-0.1477083432646129,3,2.206321225039302,1
SOLUSDT,2025-07-11T09:59:59Z,SHORT,CHoCH,1.0527659753719034,0.2152600768071876,0.11206896551725955,5,0.5992375111119399,0.37234175447731355,7,-0,0.6748694299901596,1,0,1.0006684651578008,1.0468654899573941,0,-0.10556378565520794,-1,-1.0866709302325581,0
XRPUSDT,2025-07-11T11:59:59Z,LONG,BOS,1.117914024371342,1.1489040448493828,0.9109589041095939,5,1.3482726879261866,0.18923125444577346,10,0,1.4800587401294902,0,1,0.9630519199472611,1.0930848003681872,74,1.3235818265585246,6,5.913464210526315,1
BNBUSDT,2025-07-11T09:59:59Z,SHORT,BOS,0.5344539953044098,0.9015354045113351,0.07042253521126625,5,0.9015354045113351,0.32509913071770097,7,-0,0.9698335412167378,0,0,1.8659050947915834,0.992458478036578,46,0.3746387465450914,-1,-1.0913838945827243,0
ADAUSDT,2025-07-11T21:59:59Z,LONG,BOS,1.4988804301776455,0.7042293263048635,0.8203124999999942,5,0.972948411342249,0.7042293263048738,9,0,1.1860704443029404,0,1,1.0841425154956577,1.649048625792818,26,0.44712261219572935,-1,-1.053876923076923,0
BNBUSDT,2025-07-11T23:59:59Z,SHORT,BOS,0.5822119653208668,0.6482784645743185,0.5052316890881952,5,0.8284948717146822,0.37795385386380154,22,-0,1.674510783012467,0,0,0.6758115267763494,0.391576749042819,61,-0.6825128211112899,-1,-1.2305399999999962,0
XRPUSDT,2025-07-12T01:59:59Z,SHORT,CHoCH,2.4541588478850738,0.5882650434992583,0.4489795918367342,5,0.7737947879874816,0.06787673578837827,22,-0,1.404294244866169,1,0,0.3514506541931435,0.8464416754459213,0,0.26666889485834927,-1,-1.1070274678111593,0
NEARUSDT,2025-07-12T02:59:59Z,SHORT,BOS,1.9012339108019582,0.8857624990340303,0.6016260162601639,5,1.0333895822063717,0.5694187493790154,22,-0,2.5940187471711047,0,0,0.864672915723689,1.612268973653145,199,3.1561713367793325,1,0.9448780487804871,1
XRPUSDT,2025-07-12T04:59:59Z,LONG,CHoCH,2.299044596490376,0.12890792335278461,0.37752161383285676,6,0.13356724588361096,0.7268543148084509,3,0,0.5389283060652427,1,1,1.6152318106854502,3.7249283667621653,0,-0.6573174289040596,-1,-1.0234615384615386,0
ZECUSDT,2025-07-12T04:59:59Z,LONG,BOS,1.8618445523246336,0.20087957646495072,0.6621621621621631,6,0.6151937029238999,0.3013193646974216,1,1,0.9290680411503781,0,1,1.255497352905913,2.3646252069047056,172,-0.860085321320444,-1,-1.037361,0
TRXUSDT,2025-07-12T16:59:59Z,SHORT,BOS,0.5833708401012618,1.3234654729852475,0.14285714285714568,6,1.898885243848393,0.9782136104673346,15,-0,1.6111753584168202,0,0,0.11508395417261633,0.06640106241699135,165,1.4447525805162094,-1,-2.3561000000001497,0
NEARUSDT,2025-07-12T18:59:59Z,SHORT,BOS,1.8383867832381235,0.8534391642929404,0.27419354838710114,6,1.4149122986961915,0.7186856120361645,15,-0,1.3924533733200737,0,0,0.2695071045135617,0.48289738430583545,216,1.4951982547322742,0,-0.18637499999999982,0
XLMUSDT,2025-07-13T00:59:59Z,LONG,CHoCH,3.4171522647156767,0.1919443669297401,0.7403846153846124,6,0.5684506251380772,0.04429485390686247,22,0,0.7677774677189645,1,1,0.8785146024861186,3.0614870079752934,0,-0.8223702044202128,4,3.9678025210084034,1
