symbol,entry_time,side,setup,atr_pct,body_atr,close_pos,dow,entry_dist_atr,gap_atr,hour,htf_align,range_atr,setup_choch,side_long,stop_atr,stop_pct,trend_age,vol_z,gross_r,net_r,win
XLMUSDT,2026-06-08T22:59:59Z,LONG,BOS,1.6342851343068767,0.23762653554810004,0.2758620689655143,1,0.23762653554810004,0.5346597049832271,21,0,0.8613961913618718,0,1,1.277242628571045,2.095516569200779,0,0.30612332731148817,-1,-1.0422488372093024,0
NEARUSDT,2026-06-09T04:59:59Z,SHORT,BOS,2.6849218241683834,0.25423230222604476,0.19354838709678066,2,0.8171752571551548,0.39950790349807264,3,-0,0.5629429549291101,0,0,0.7990158069961453,2.0992366412213546,4,-1.4045896652718448,-1,-1.0435727272727278,0
ZECUSDT,2026-06-09T08:59:59Z,LONG,BOS,2.63108033232654,0.30453582102100135,0.4943032427695006,2,0.45559205054600843,0.6114950040129945,7,0,0.9216853362996373,0,1,1.0396222855544583,2.7685159291845043,16,0.36226146076654075,0,-0.0325083916083916,0
ADAUSDT,2026-06-09T17:59:59Z,SHORT,BOS,1.6898007636031127,0.3652998412079469,0.4285714285714314,2,0.584479745932711,0.25570988884556484,16,-0,1.0228395553822494,0,0,1.3516094124694056,2.261613691931546,16,2.024652591791706,-1,-1.0404945945945945,0
NEARUSDT,2026-06-09T21:59:59Z,LONG,BOS,2.772911727100176,0.2421430708470487,0.7419354838709669,2,0.7425720839309402,0.3228574277960625,20,0,1.0008580261677902,0,1,0.6295719842023237,1.7824497257769716,2,0.6678869392286191,-1,-1.0497923076923075,0
DOGEUSDT,2026-06-09T22:59:59Z,LONG,BOS,0.9969268777300689,0.41033065499292537,0.8775510204081551,2,1.1254783679805882,0.15240852899736065,20,0,0.5744629169900956,0,1,0.3399882569941335,0.34278959810874543,15,-0.25795337196483564,0,-0.2625517241379323,0
VANRYUSDT,2026-06-09T21:59:59Z,LONG,BOS,1.3535279269913734,0.25446958340998704,0.5217391304347949,2,0.25446958340998704,0.021205798617492024,20,0,0.48773336820246366,0,1,1.2723479170498984,1.7281105990783332,9,-1.2313089272287794,-1,-1.0513800000000002,0
TRXUSDT,2026-06-09T18:59:59Z,SHORT,BOS,0.30971056735102154,1.8077380697480934,0.047619047619042586,2,2.0085978552756965,0.20085978552754735,9,-0,2.10902774803947,0,0,0.9038690348740188,0.27820710973723534,17,3.7764416755340284,1,0.6771999999999843,1
ETHUSDT,2026-06-10T07:59:59Z,SHORT,BOS,1.0331160081455466,0.8802105110623084,0.11818620356970783,3,1.1114371043542284,0.26340761400781804,2,-0,1.2353936285932088,0,0,0.24195360019723283,0.24712850073348303,26,-0.6810156514809844,5,4.639316995073907,1
BNBUSDT,2026-06-10T07:59:59Z,SHORT,BOS,0.7446616297030538,0.5712090391640593,0.3031784841075793,3,0.9038408089584001,0.29592757450667184,4,-0,0.9382509920405671,0,0,0.7937282230954191,0.5871073931413509,19,-0.2454703543221942,1,0.8474060693641584,1
